Accession#   Title                                             Type  Additional Information                    



CASHJ13      A Boy Named Sue                                   V     Record Label: Warner, RPM: 33             

B00005QJFL   ABBA The Definitive Collection                    C     Number of Tracks: 17, Year Released: 2001 

Jackson5     ABC 123                                           C     Number of Tracks: 15, Year Released: 1990 

A266972      Aerosmith                                         V     Record Label: Sony, RPM: 45               

PHANTOM      All I Ask of You                                  C     Number of Tracks: 19, Year Released: 2000 

A2           Anchors Away                                      P     Pages: 3                                  

APPV98168    Andrea Bocelli, Celine Dion: The Prayer           P     Pages: 10                                 

ALICEDJ      Back in My Life                                   C     Number of Tracks: 23, Year Released: 2001 

CLAYDERMAN   Ballade Pour Adeline                              C     Number of Tracks: 24, Year Released: 1982 

B000HA4AAE   Barry Manilow - The Greatest Songs of the Sixties C     Number of Tracks: 17, Year Released: 2006 

B19939871    Beethoven and the Tempest                         P     Pages: 12                                 

Dylan001     Bob Dylan - Hurricane                             C     Number of Tracks: 12, Year Released: 1978 

Dylan002     Bob Dylan - Tangled Up in Blue                    C     Number of Tracks: 13, Year Released: 1979 

A6           Borodin                                           C     Number of Tracks: 14, Year Released: 1996 

B00020HEH0   Borrowed Heaven                                   C     Number of Tracks: 14, Year Released: 2004 

B19843213    Brown Sugar                                       C     Number of Tracks: 10, Year Released: 1995 

Muse         Butterflies & Hurricanes                          C     Number of Tracks: 16, Year Released: 2006 

C00020HDXU   Call of the Mystic                                C     Number of Tracks: 8, Year Released: 2004  

C19562341    Candide                                           C     Number of Tracks: 27, Year Released: 1985 

PACHELBEL    Canon in D Major                                  P     Pages: 26                                 

66397        Clarinet concerto in A                            C     Number of Tracks: 3, Year Released: 1996  

C67003486X   Collected Works of Turlough O'Carolan             P     Pages: 480                                

BOCELLI      Con Te Partiro                                    C     Number of Tracks: 3, Year Released: 1995  

TradIrish2   Congress Reel                                     V     Record Label: Green Linnet, RPM: 33       

C7514        Crescent Trio Whispering                          W     Maker: Edison Record                      

B00009VTYR   Cuatro Caminos                                    C     Number of Tracks: 14, Year Released: 2003 

D1984-79     Dan Dickey Music Collection                       V     Record Label: 23866727, RPM: 78           

HL353192     Daniel Powter: Bad Day                            P     Pages: 8                                  

B000002U82   Dark Side of the Moon                             C     Number of Tracks: 7, Year Released: 1990  

A7           Edith Piaf: Master Series                         C     Number of Tracks: 4, Year Released: 1989  

66398        Einie Kleine Nachtmusik                           C     Number of Tracks: 5, Year Released: 1996  

0743271092   Elementary Guitar Chorind Techniques              P     Pages: 384                                

E000738325   Elvis:The Top Ten Hits                            C     Number of Tracks: 38, Year Released: 1987 

EJ           Eric Johnson - Cliffs of Dover                    C     Number of Tracks: 8, Year Released: 2004  

B000009HRR   Essence of Rhythmn                                C     Number of Tracks: 3, Year Released: 1998  

OCarloan2    Fanny Powers                                      V     Record Label: Green Linnet, RPM: 45       

F006093845   Fast Fingering Tips for Banjo                     P     Pages: 40                                 

F9748        Florence Hinkle - I love you so                   W     Maker: Edison Gold Moulded                

ALPHAVILLE   Forever Young                                     C     Number of Tracks: 15, Year Released: 1999 

F186246jb    Four songs                                        P     Pages: 22                                 

